"population","Contour","nPredicted","plateau","estMean","estSD","areaActual"
250,50,230,181.723922051928,183.61,3.80727639334913,191.75
500,50,278,172.514317569672,169.21,7.77092483088549,190
1000,50,320,185.418470300685,179.0425,7.97605752780587,201.25
250,75,231,365.183698219823,368.6225,6.2626130304927,382.5
500,75,271,347.332994423784,340.935,14.9794733289299,380
1000,75,326,376.431365481614,363.3375,14.7122387295185,410.5
250,95,250,690.916774429896,704.75,0,704.75
500,95,396,730.115842249857,729.97,17.9661676998235,770.5
1000,95,499,790.03821267225,770.2825,24.5996647088508,815
