"anID","nAnimals","simulation","area_50p","area_75p","area_90p","area_95p","area_99p","allDuration","allMigs","allAnimalYrs","newAnimalDuration","newAnimalMigs","projName","UD"
"1",159,79,2546,5194,8004,9669,12733,NA,NA,NA,NA,NA,"sim1","winter"
"1",48,71,897,1830,2814,3421,4608,NA,NA,NA,NA,NA,"sim1","winter"
"1",128,38,2146,4363,6744,8201,10937,NA,NA,NA,NA,NA,"sim1","winter"
"1",54,8,917,1880,2920,3558,4725,NA,NA,NA,NA,NA,"sim1","winter"
"1",27,39,518,1052,1618,1973,2679,NA,NA,NA,NA,NA,"sim1","winter"
"1",117,85,1871,3823,5918,7185,9571,NA,NA,NA,NA,NA,"sim1","winter"
"1",206,96,3144,6356,9771,11777,15426,NA,NA,NA,NA,NA,"sim1","winter"
"1",2,48,53,110,169,209,288,NA,NA,NA,NA,NA,"sim1","winter"
"1",69,80,1159,2367,3658,4455,5969,NA,NA,NA,NA,NA,"sim1","winter"
"1",241,62,3565,7205,11052,13272,17261,NA,NA,NA,NA,NA,"sim1","winter"
"1",112,28,1864,3788,5834,7053,9382,NA,NA,NA,NA,NA,"sim1","winter"
"1",135,59,2199,4476,6919,8389,11097,NA,NA,NA,NA,NA,"sim1","winter"
"1",91,16,1587,3258,5052,6148,8233,NA,NA,NA,NA,NA,"sim1","winter"
"1",72,10,1302,2634,4085,4971,6659,NA,NA,NA,NA,NA,"sim1","winter"
"1",21,25,373,770,1196,1462,1991,NA,NA,NA,NA,NA,"sim1","winter"
"1",91,3,1532,3139,4875,5958,8001,NA,NA,NA,NA,NA,"sim1","winter"
"1",213,99,3149,6379,9794,11778,15356,NA,NA,NA,NA,NA,"sim1","winter"
"1",62,52,1103,2233,3439,4195,5628,NA,NA,NA,NA,NA,"sim1","winter"
"1",32,91,572,1169,1820,2223,3013,NA,NA,NA,NA,NA,"sim1","winter"
"1",118,44,1956,4010,6203,7518,10022,NA,NA,NA,NA,NA,"sim1","winter"
"1",242,49,3574,7242,11124,13360,17375,NA,NA,NA,NA,NA,"sim1","winter"
"1",248,2,3635,7340,11252,13498,17528,NA,NA,NA,NA,NA,"sim1","winter"
"1",104,29,1645,3362,5217,6340,8471,NA,NA,NA,NA,NA,"sim1","winter"
"1",2,57,42,84,131,164,224,NA,NA,NA,NA,NA,"sim1","winter"
"1",12,81,196,403,641,792,1087,NA,NA,NA,NA,NA,"sim1","winter"
"1",47,9,874,1790,2785,3399,4583,NA,NA,NA,NA,NA,"sim1","winter"
"1",51,46,861,1778,2773,3382,4550,NA,NA,NA,NA,NA,"sim1","winter"
"1",103,58,1763,3582,5538,6711,8909,NA,NA,NA,NA,NA,"sim1","winter"
"1",7,66,134,272,426,528,724,NA,NA,NA,NA,NA,"sim1","winter"
"1",21,97,396,822,1277,1577,2157,NA,NA,NA,NA,NA,"sim1","winter"
"1",221,33,3413,6903,10582,12712,16559,NA,NA,NA,NA,NA,"sim1","winter"
"1",83,94,1418,2896,4495,5467,7344,NA,NA,NA,NA,NA,"sim1","winter"
"1",242,50,3577,7229,11086,13305,17290,NA,NA,NA,NA,NA,"sim1","winter"
"1",182,82,2872,5788,8860,10665,13966,NA,NA,NA,NA,NA,"sim1","winter"
"1",178,14,2781,5604,8602,10376,13630,NA,NA,NA,NA,NA,"sim1","winter"
"1",101,60,1742,3550,5480,6651,8851,NA,NA,NA,NA,NA,"sim1","winter"
"1",214,56,3223,6520,10006,12035,15699,NA,NA,NA,NA,NA,"sim1","winter"
"1",12,41,212,433,674,824,1133,NA,NA,NA,NA,NA,"sim1","winter"
"1",235,13,3464,7023,10783,12956,16859,NA,NA,NA,NA,NA,"sim1","winter"
"1",223,5,3306,6684,10272,12351,16096,NA,NA,NA,NA,NA,"sim1","winter"
"1",214,51,3196,6493,9977,11999,15662,NA,NA,NA,NA,NA,"sim1","winter"
"1",247,75,3645,7351,11258,13502,17519,NA,NA,NA,NA,NA,"sim1","winter"
"1",180,30,2886,5838,8958,10809,14238,NA,NA,NA,NA,NA,"sim1","winter"
"1",205,95,3127,6314,9682,11652,15211,NA,NA,NA,NA,NA,"sim1","winter"
"1",82,68,1354,2766,4285,5210,6959,NA,NA,NA,NA,NA,"sim1","winter"
"1",185,19,2953,5994,9219,11122,14581,NA,NA,NA,NA,NA,"sim1","winter"
