"anID","nAnimals","simulation","area_50p","area_75p","area_90p","area_95p","area_99p","allDuration","allMigs","allAnimalYrs","newAnimalDuration","newAnimalMigs","projName","UD"
"1",231,22,727,1453,2267,2760,3568,NA,NA,NA,NA,NA,"sim2","winter"
"1",93,20,546,1168,1855,2258,2882,NA,NA,NA,NA,NA,"sim2","winter"
"1",120,30,652,1279,1914,2283,2825,NA,NA,NA,NA,NA,"sim2","winter"
"1",234,67,740,1482,2293,2785,3615,NA,NA,NA,NA,NA,"sim2","winter"
"1",143,1,661,1344,2131,2614,3373,NA,NA,NA,NA,NA,"sim2","winter"
"1",41,18,413,840,1298,1566,1985,NA,NA,NA,NA,NA,"sim2","winter"
"1",92,66,648,1298,1958,2322,2876,NA,NA,NA,NA,NA,"sim2","winter"
"1",93,95,587,1179,1838,2222,2823,NA,NA,NA,NA,NA,"sim2","winter"
"1",224,16,741,1465,2261,2744,3541,NA,NA,NA,NA,NA,"sim2","winter"
"1",156,6,687,1380,2135,2582,3304,NA,NA,NA,NA,NA,"sim2","winter"
"1",108,88,612,1237,1893,2270,2827,NA,NA,NA,NA,NA,"sim2","winter"
"1",144,42,676,1358,2088,2512,3188,NA,NA,NA,NA,NA,"sim2","winter"
"1",106,80,669,1326,2011,2402,2998,NA,NA,NA,NA,NA,"sim2","winter"
"1",14,40,180,363,564,675,884,NA,NA,NA,NA,NA,"sim2","winter"
"1",96,29,584,1171,1823,2202,2826,NA,NA,NA,NA,NA,"sim2","winter"
"1",125,45,644,1302,2010,2430,3121,NA,NA,NA,NA,NA,"sim2","winter"
"1",186,68,714,1422,2188,2645,3387,NA,NA,NA,NA,NA,"sim2","winter"
"1",12,96,174,354,546,652,839,NA,NA,NA,NA,NA,"sim2","winter"
"1",28,7,359,725,1107,1321,1668,NA,NA,NA,NA,NA,"sim2","winter"
"1",135,57,749,1496,2247,2662,3282,NA,NA,NA,NA,NA,"sim2","winter"
"1",233,91,734,1481,2325,2834,3678,NA,NA,NA,NA,NA,"sim2","winter"
"1",96,82,625,1229,1858,2212,2771,NA,NA,NA,NA,NA,"sim2","winter"
"1",242,43,726,1466,2293,2803,3655,NA,NA,NA,NA,NA,"sim2","winter"
"1",215,81,731,1452,2223,2662,3379,NA,NA,NA,NA,NA,"sim2","winter"
"1",93,89,583,1166,1743,2064,2539,NA,NA,NA,NA,NA,"sim2","winter"
"1",41,63,503,973,1449,1714,2148,NA,NA,NA,NA,NA,"sim2","winter"
"1",42,35,498,996,1515,1814,2285,NA,NA,NA,NA,NA,"sim2","winter"
"1",75,97,602,1181,1784,2115,2639,NA,NA,NA,NA,NA,"sim2","winter"
"1",242,74,731,1463,2272,2747,3529,NA,NA,NA,NA,NA,"sim2","winter"
"1",9,90,128,260,400,485,646,NA,NA,NA,NA,NA,"sim2","winter"
"1",62,64,520,1040,1555,1840,2297,NA,NA,NA,NA,NA,"sim2","winter"
"1",202,100,705,1428,2220,2693,3474,NA,NA,NA,NA,NA,"sim2","winter"
"1",229,14,739,1476,2314,2827,3672,NA,NA,NA,NA,NA,"sim2","winter"
"1",185,9,696,1374,2097,2498,3110,NA,NA,NA,NA,NA,"sim2","winter"
"1",221,25,712,1452,2240,2706,3491,NA,NA,NA,NA,NA,"sim2","winter"
"1",102,38,635,1255,1895,2244,2759,NA,NA,NA,NA,NA,"sim2","winter"
"1",46,37,460,917,1387,1650,2067,NA,NA,NA,NA,NA,"sim2","winter"
"1",99,55,652,1308,1980,2350,2926,NA,NA,NA,NA,NA,"sim2","winter"
"1",180,31,694,1395,2172,2625,3356,NA,NA,NA,NA,NA,"sim2","winter"
"1",109,41,645,1316,1996,2386,2978,NA,NA,NA,NA,NA,"sim2","winter"
"10",179,20,651,1392,2216,2694,3460,NA,NA,NA,NA,NA,"sim2","winter"
"10",72,65,612,1238,1883,2252,2830,NA,NA,NA,NA,NA,"sim2","winter"
"10",167,91,653,1332,2114,2585,3349,NA,NA,NA,NA,NA,"sim2","winter"
"10",129,45,650,1302,2007,2430,3124,NA,NA,NA,NA,NA,"sim2","winter"
"10",135,60,666,1336,2050,2469,3109,NA,NA,NA,NA,NA,"sim2","winter"
"10",246,28,742,1484,2313,2818,3666,NA,NA,NA,NA,NA,"sim2","winter"
"10",197,26,719,1449,2234,2693,3422,NA,NA,NA,NA,NA,"sim2","winter"
"10",78,1,611,1223,1880,2258,2853,NA,NA,NA,NA,NA,"sim2","winter"
"10",66,19,492,1001,1541,1845,2299,NA,NA,NA,NA,NA,"sim2","winter"
"10",102,37,674,1304,1947,2319,2868,NA,NA,NA,NA,NA,"sim2","winter"
"10",105,32,610,1257,1934,2314,2869,NA,NA,NA,NA,NA,"sim2","winter"
"10",162,7,720,1439,2202,2657,3395,NA,NA,NA,NA,NA,"sim2","winter"
"10",111,15,677,1334,2033,2430,3041,NA,NA,NA,NA,NA,"sim2","winter"
"10",169,61,703,1371,2061,2445,3048,NA,NA,NA,NA,NA,"sim2","winter"
"10",118,80,694,1362,2046,2430,3017,NA,NA,NA,NA,NA,"sim2","winter"
"10",59,64,506,1025,1547,1836,2296,NA,NA,NA,NA,NA,"sim2","winter"
"10",160,59,718,1438,2213,2666,3378,NA,NA,NA,NA,NA,"sim2","winter"
"10",87,62,529,1097,1684,2011,2517,NA,NA,NA,NA,NA,"sim2","winter"
"10",147,21,692,1324,1975,2360,2982,NA,NA,NA,NA,NA,"sim2","winter"
"10",79,97,607,1183,1790,2123,2640,NA,NA,NA,NA,NA,"sim2","winter"
"10",153,52,699,1341,1998,2377,2964,NA,NA,NA,NA,NA,"sim2","winter"
"10",1,88,19,39,62,77,104,NA,NA,NA,NA,NA,"sim2","winter"
"10",108,38,667,1312,1981,2342,2878,NA,NA,NA,NA,NA,"sim2","winter"
"10",198,87,693,1425,2238,2728,3525,NA,NA,NA,NA,NA,"sim2","winter"
"10",242,31,751,1496,2323,2822,3655,NA,NA,NA,NA,NA,"sim2","winter"
"10",140,34,688,1371,2087,2493,3119,NA,NA,NA,NA,NA,"sim2","winter"
"10",7,74,115,237,367,445,583,NA,NA,NA,NA,NA,"sim2","winter"
"10",100,44,616,1227,1869,2236,2811,NA,NA,NA,NA,NA,"sim2","winter"
"10",65,76,582,1175,1812,2166,2713,NA,NA,NA,NA,NA,"sim2","winter"
"10",63,8,514,1065,1627,1938,2397,NA,NA,NA,NA,NA,"sim2","winter"
"10",89,98,568,1106,1639,1934,2377,NA,NA,NA,NA,NA,"sim2","winter"
"10",199,16,745,1481,2279,2757,3538,NA,NA,NA,NA,NA,"sim2","winter"
"10",91,63,647,1271,1904,2254,2790,NA,NA,NA,NA,NA,"sim2","winter"
"10",191,14,716,1444,2246,2724,3503,NA,NA,NA,NA,NA,"sim2","winter"
"10",244,81,752,1499,2319,2816,3657,NA,NA,NA,NA,NA,"sim2","winter"
"10",31,68,385,789,1205,1442,1827,NA,NA,NA,NA,NA,"sim2","winter"
"10",223,4,725,1455,2293,2808,3653,NA,NA,NA,NA,NA,"sim2","winter"
"10",86,70,616,1188,1806,2154,2690,NA,NA,NA,NA,NA,"sim2","winter"
"10",124,82,720,1383,2084,2491,3143,NA,NA,NA,NA,NA,"sim2","winter"
"10",75,56,536,1056,1638,1969,2468,NA,NA,NA,NA,NA,"sim2","winter"
"10",199,51,714,1449,2257,2748,3534,NA,NA,NA,NA,NA,"sim2","winter"
"10",109,25,597,1286,1993,2383,2974,NA,NA,NA,NA,NA,"sim2","winter"
"10",27,2,316,628,955,1142,1443,NA,NA,NA,NA,NA,"sim2","winter"
"10",97,9,600,1221,1876,2226,2760,NA,NA,NA,NA,NA,"sim2","winter"
"10",139,22,677,1355,2083,2507,3162,NA,NA,NA,NA,NA,"sim2","winter"
"10",54,93,490,998,1549,1870,2388,NA,NA,NA,NA,NA,"sim2","winter"
"10",173,3,694,1395,2132,2555,3228,NA,NA,NA,NA,NA,"sim2","winter"
"10",220,89,724,1427,2201,2670,3434,NA,NA,NA,NA,NA,"sim2","winter"
"10",151,50,656,1299,1999,2390,2967,NA,NA,NA,NA,NA,"sim2","winter"
"10",127,53,685,1377,2064,2457,3075,NA,NA,NA,NA,NA,"sim2","winter"
"10",98,24,577,1178,1845,2238,2863,NA,NA,NA,NA,NA,"sim2","winter"
"10",194,78,724,1455,2237,2694,3427,NA,NA,NA,NA,NA,"sim2","winter"
"10",117,71,636,1349,2100,2522,3179,NA,NA,NA,NA,NA,"sim2","winter"
"10",210,92,729,1433,2211,2680,3437,NA,NA,NA,NA,NA,"sim2","winter"
"10",181,47,713,1408,2141,2573,3294,NA,NA,NA,NA,NA,"sim2","winter"
"10",200,79,707,1409,2148,2564,3207,NA,NA,NA,NA,NA,"sim2","winter"
"10",2,10,46,91,139,171,234,NA,NA,NA,NA,NA,"sim2","winter"
"10",247,48,737,1490,2322,2823,3667,NA,NA,NA,NA,NA,"sim2","winter"
"10",13,23,233,459,697,834,1096,NA,NA,NA,NA,NA,"sim2","winter"
"10",60,33,559,1094,1617,1898,2342,NA,NA,NA,NA,NA,"sim2","winter"
"10",113,57,711,1433,2172,2579,3188,NA,NA,NA,NA,NA,"sim2","winter"
"10",52,40,483,967,1468,1739,2159,NA,NA,NA,NA,NA,"sim2","winter"
"10",90,13,651,1293,1975,2362,2967,NA,NA,NA,NA,NA,"sim2","winter"
"10",57,39,549,1086,1626,1911,2359,NA,NA,NA,NA,NA,"sim2","winter"
"10",246,30,734,1472,2289,2782,3608,NA,NA,NA,NA,NA,"sim2","winter"
"10",12,49,205,434,678,818,1071,NA,NA,NA,NA,NA,"sim2","winter"
"10",43,84,433,867,1310,1557,1957,NA,NA,NA,NA,NA,"sim2","winter"
"10",129,85,661,1329,2007,2390,2947,NA,NA,NA,NA,NA,"sim2","winter"
"10",233,77,739,1484,2297,2794,3631,NA,NA,NA,NA,NA,"sim2","winter"
"10",121,86,611,1243,1890,2258,2823,NA,NA,NA,NA,NA,"sim2","winter"
"10",38,67,459,894,1327,1568,1950,NA,NA,NA,NA,NA,"sim2","winter"
"10",61,27,569,1119,1698,2031,2576,NA,NA,NA,NA,NA,"sim2","winter"
"10",250,35,744,1490,2318,2819,3664,NA,NA,NA,NA,NA,"sim2","winter"
"10",3,69,54,107,165,202,278,NA,NA,NA,NA,NA,"sim2","winter"
"10",194,96,745,1488,2264,2712,3419,NA,NA,NA,NA,NA,"sim2","winter"
"10",137,12,590,1219,1920,2329,2965,NA,NA,NA,NA,NA,"sim2","winter"
"10",123,95,619,1244,1953,2381,3054,NA,NA,NA,NA,NA,"sim2","winter"
"10",246,99,740,1487,2319,2821,3666,NA,NA,NA,NA,NA,"sim2","winter"
"10",29,94,379,771,1172,1391,1753,NA,NA,NA,NA,NA,"sim2","winter"
"10",220,54,770,1535,2347,2829,3619,NA,NA,NA,NA,NA,"sim2","winter"
"10",224,75,740,1467,2271,2762,3597,NA,NA,NA,NA,NA,"sim2","winter"
"10",127,66,674,1396,2129,2548,3176,NA,NA,NA,NA,NA,"sim2","winter"
"10",40,90,472,929,1384,1640,2058,NA,NA,NA,NA,NA,"sim2","winter"
"10",236,72,743,1496,2330,2835,3680,NA,NA,NA,NA,NA,"sim2","winter"
"10",70,42,558,1117,1698,2045,2601,NA,NA,NA,NA,NA,"sim2","winter"
"10",246,36,744,1490,2315,2818,3667,NA,NA,NA,NA,NA,"sim2","winter"
"10",241,43,727,1469,2296,2806,3657,NA,NA,NA,NA,NA,"sim2","winter"
"10",61,55,511,1031,1553,1834,2261,NA,NA,NA,NA,NA,"sim2","winter"
"10",16,29,195,416,647,785,1044,NA,NA,NA,NA,NA,"sim2","winter"
"10",63,17,592,1166,1705,1984,2403,NA,NA,NA,NA,NA,"sim2","winter"
"10",64,41,503,1018,1531,1810,2243,NA,NA,NA,NA,NA,"sim2","winter"
"10",145,83,695,1377,2038,2385,2904,NA,NA,NA,NA,NA,"sim2","winter"
"10",32,100,406,792,1195,1417,1784,NA,NA,NA,NA,NA,"sim2","winter"
"10",102,18,593,1174,1785,2127,2662,NA,NA,NA,NA,NA,"sim2","winter"
"10",153,11,679,1378,2162,2611,3326,NA,NA,NA,NA,NA,"sim2","winter"
"10",203,46,699,1406,2189,2664,3419,NA,NA,NA,NA,NA,"sim2","winter"
"10",193,73,725,1476,2309,2801,3571,NA,NA,NA,NA,NA,"sim2","winter"
"10",107,6,654,1311,2023,2437,3124,NA,NA,NA,NA,NA,"sim2","winter"
"10",26,5,356,735,1132,1360,1764,NA,NA,NA,NA,NA,"sim2","winter"
"10",66,58,605,1175,1737,2040,2497,NA,NA,NA,NA,NA,"sim2","winter"
"100",141,21,689,1327,1986,2372,2988,NA,NA,NA,NA,NA,"sim2","winter"
"100",117,82,699,1360,2065,2469,3125,NA,NA,NA,NA,NA,"sim2","winter"
"100",249,80,743,1492,2321,2822,3666,NA,NA,NA,NA,NA,"sim2","winter"
"100",215,22,727,1445,2261,2763,3576,NA,NA,NA,NA,NA,"sim2","winter"
"100",214,17,735,1500,2342,2839,3646,NA,NA,NA,NA,NA,"sim2","winter"
"100",146,88,633,1284,1990,2415,3062,NA,NA,NA,NA,NA,"sim2","winter"
"100",113,13,683,1344,2065,2486,3145,NA,NA,NA,NA,NA,"sim2","winter"
"100",23,83,267,553,861,1038,1331,NA,NA,NA,NA,NA,"sim2","winter"
"100",156,46,632,1296,1981,2392,3045,NA,NA,NA,NA,NA,"sim2","winter"
"100",247,81,748,1490,2310,2808,3652,NA,NA,NA,NA,NA,"sim2","winter"
"100",53,68,524,1045,1602,1927,2447,NA,NA,NA,NA,NA,"sim2","winter"
"100",164,23,711,1390,2126,2556,3255,NA,NA,NA,NA,NA,"sim2","winter"
"100",105,15,684,1333,2026,2420,3033,NA,NA,NA,NA,NA,"sim2","winter"
"100",138,91,581,1222,1960,2403,3106,NA,NA,NA,NA,NA,"sim2","winter"
"100",175,74,668,1344,2075,2495,3169,NA,NA,NA,NA,NA,"sim2","winter"
"100",38,53,438,879,1340,1614,2059,NA,NA,NA,NA,NA,"sim2","winter"
"100",206,33,704,1396,2168,2629,3377,NA,NA,NA,NA,NA,"sim2","winter"
"100",91,12,579,1170,1799,2147,2677,NA,NA,NA,NA,NA,"sim2","winter"
"100",177,39,665,1320,2012,2400,3004,NA,NA,NA,NA,NA,"sim2","winter"
"100",243,5,744,1501,2338,2838,3676,NA,NA,NA,NA,NA,"sim2","winter"
"100",86,51,667,1318,2003,2388,2954,NA,NA,NA,NA,NA,"sim2","winter"
"100",16,55,253,500,761,921,1203,NA,NA,NA,NA,NA,"sim2","winter"
"100",100,66,663,1331,2012,2392,2975,NA,NA,NA,NA,NA,"sim2","winter"
"100",51,95,499,1018,1560,1871,2368,NA,NA,NA,NA,NA,"sim2","winter"
"100",192,76,735,1465,2254,2729,3487,NA,NA,NA,NA,NA,"sim2","winter"
"100",35,40,414,847,1285,1522,1918,NA,NA,NA,NA,NA,"sim2","winter"
"100",48,61,530,1043,1577,1879,2365,NA,NA,NA,NA,NA,"sim2","winter"
"100",209,92,726,1431,2213,2683,3438,NA,NA,NA,NA,NA,"sim2","winter"
"100",146,7,715,1430,2179,2619,3324,NA,NA,NA,NA,NA,"sim2","winter"
"100",113,14,597,1269,1995,2412,3052,NA,NA,NA,NA,NA,"sim2","winter"
"100",163,71,677,1418,2221,2691,3437,NA,NA,NA,NA,NA,"sim2","winter"
"100",177,44,744,1491,2286,2773,3543,NA,NA,NA,NA,NA,"sim2","winter"
"100",101,85,615,1221,1818,2146,2628,NA,NA,NA,NA,NA,"sim2","winter"
"100",172,67,754,1528,2329,2781,3499,NA,NA,NA,NA,NA,"sim2","winter"
"100",87,27,617,1238,1906,2291,2911,NA,NA,NA,NA,NA,"sim2","winter"
"100",242,75,745,1486,2304,2802,3638,NA,NA,NA,NA,NA,"sim2","winter"
"100",5,59,92,185,284,345,458,NA,NA,NA,NA,NA,"sim2","winter"
"100",124,50,647,1275,1934,2297,2841,NA,NA,NA,NA,NA,"sim2","winter"
"100",32,52,384,741,1099,1298,1615,NA,NA,NA,NA,NA,"sim2","winter"
"100",74,30,482,956,1437,1707,2123,NA,NA,NA,NA,NA,"sim2","winter"
"100",227,25,706,1439,2225,2691,3481,NA,NA,NA,NA,NA,"sim2","winter"
"100",27,99,348,704,1086,1304,1674,NA,NA,NA,NA,NA,"sim2","winter"
"100",123,57,720,1456,2217,2636,3255,NA,NA,NA,NA,NA,"sim2","winter"
"100",213,79,735,1465,2230,2674,3394,NA,NA,NA,NA,NA,"sim2","winter"
"100",199,100,698,1422,2223,2700,3480,NA,NA,NA,NA,NA,"sim2","winter"
"100",16,93,221,471,735,890,1165,NA,NA,NA,NA,NA,"sim2","winter"
"100",122,35,637,1309,1997,2391,3014,NA,NA,NA,NA,NA,"sim2","winter"
"100",212,87,734,1476,2291,2783,3592,NA,NA,NA,NA,NA,"sim2","winter"
"100",110,6,649,1296,2008,2425,3117,NA,NA,NA,NA,NA,"sim2","winter"
"100",214,58,724,1486,2316,2812,3620,NA,NA,NA,NA,NA,"sim2","winter"
"100",66,84,531,1049,1589,1890,2353,NA,NA,NA,NA,NA,"sim2","winter"
"100",86,4,532,1102,1753,2127,2706,NA,NA,NA,NA,NA,"sim2","winter"
"100",204,29,708,1419,2212,2689,3458,NA,NA,NA,NA,NA,"sim2","winter"
"100",163,47,718,1409,2157,2601,3316,NA,NA,NA,NA,NA,"sim2","winter"
"100",178,96,723,1434,2180,2615,3300,NA,NA,NA,NA,NA,"sim2","winter"
"100",115,41,659,1338,2035,2435,3042,NA,NA,NA,NA,NA,"sim2","winter"
"100",53,19,495,982,1491,1775,2210,NA,NA,NA,NA,NA,"sim2","winter"
"100",219,1,745,1482,2280,2777,3610,NA,NA,NA,NA,NA,"sim2","winter"
"100",18,98,277,559,853,1018,1300,NA,NA,NA,NA,NA,"sim2","winter"
"100",1,56,38,76,113,138,187,NA,NA,NA,NA,NA,"sim2","winter"
"100",63,64,527,1049,1568,1856,2317,NA,NA,NA,NA,NA,"sim2","winter"
"100",135,77,699,1342,2003,2401,3034,NA,NA,NA,NA,NA,"sim2","winter"
"100",212,31,701,1409,2183,2625,3343,NA,NA,NA,NA,NA,"sim2","winter"
"100",70,38,620,1226,1821,2136,2621,NA,NA,NA,NA,NA,"sim2","winter"
"100",108,89,601,1195,1795,2128,2619,NA,NA,NA,NA,NA,"sim2","winter"
"100",110,34,622,1263,1944,2330,2931,NA,NA,NA,NA,NA,"sim2","winter"
