"anID","nAnimals","simulation","area_50p","area_75p","area_90p","area_95p","area_99p","allDuration","allMigs","allAnimalYrs","newAnimalDuration","newAnimalMigs","projName","UD"
"1",61,55,91,201,345,436,606,NA,NA,NA,NA,NA,"sim3","winter"
"1",234,53,85,205,378,509,785,NA,NA,NA,NA,NA,"sim3","winter"
"1",18,78,76,160,254,313,404,NA,NA,NA,NA,NA,"sim3","winter"
"1",144,100,82,193,340,450,688,NA,NA,NA,NA,NA,"sim3","winter"
"1",182,60,77,185,351,475,731,NA,NA,NA,NA,NA,"sim3","winter"
"1",79,12,87,199,349,457,669,NA,NA,NA,NA,NA,"sim3","winter"
"1",38,47,84,198,344,431,565,NA,NA,NA,NA,NA,"sim3","winter"
"1",129,73,78,194,353,472,706,NA,NA,NA,NA,NA,"sim3","winter"
"1",136,89,89,209,375,504,750,NA,NA,NA,NA,NA,"sim3","winter"
"1",63,42,80,201,349,439,608,NA,NA,NA,NA,NA,"sim3","winter"
"1",217,96,87,205,373,500,769,NA,NA,NA,NA,NA,"sim3","winter"
"1",174,11,84,201,380,522,789,NA,NA,NA,NA,NA,"sim3","winter"
"1",238,31,87,206,379,514,788,NA,NA,NA,NA,NA,"sim3","winter"
"1",159,70,86,199,369,490,707,NA,NA,NA,NA,NA,"sim3","winter"
"1",96,43,85,195,356,471,691,NA,NA,NA,NA,NA,"sim3","winter"
"1",158,69,90,207,376,504,746,NA,NA,NA,NA,NA,"sim3","winter"
"1",160,58,87,204,365,498,761,NA,NA,NA,NA,NA,"sim3","winter"
"1",84,30,84,186,343,471,708,NA,NA,NA,NA,NA,"sim3","winter"
"1",192,17,85,202,364,484,762,NA,NA,NA,NA,NA,"sim3","winter"
"1",153,8,83,203,377,509,754,NA,NA,NA,NA,NA,"sim3","winter"
"1",126,57,86,199,368,486,690,NA,NA,NA,NA,NA,"sim3","winter"
"1",206,23,86,206,380,505,760,NA,NA,NA,NA,NA,"sim3","winter"
"1",50,25,86,195,348,441,602,NA,NA,NA,NA,NA,"sim3","winter"
"1",232,7,85,203,373,503,762,NA,NA,NA,NA,NA,"sim3","winter"
"1",227,4,87,207,382,517,788,NA,NA,NA,NA,NA,"sim3","winter"
"1",184,84,88,209,386,522,787,NA,NA,NA,NA,NA,"sim3","winter"
"1",163,38,91,212,385,520,783,NA,NA,NA,NA,NA,"sim3","winter"
"1",166,32,88,207,366,486,739,NA,NA,NA,NA,NA,"sim3","winter"
"1",84,10,82,187,346,450,628,NA,NA,NA,NA,NA,"sim3","winter"
"1",9,67,85,164,249,297,384,NA,NA,NA,NA,NA,"sim3","winter"
"1",221,75,86,204,379,515,789,NA,NA,NA,NA,NA,"sim3","winter"
"1",243,61,85,201,369,502,768,NA,NA,NA,NA,NA,"sim3","winter"
"1",219,80,88,207,376,506,765,NA,NA,NA,NA,NA,"sim3","winter"
"1",123,51,85,195,345,450,651,NA,NA,NA,NA,NA,"sim3","winter"
"1",170,91,81,195,364,489,729,NA,NA,NA,NA,NA,"sim3","winter"
"1",157,26,86,205,372,491,742,NA,NA,NA,NA,NA,"sim3","winter"
"1",44,40,81,177,306,387,521,NA,NA,NA,NA,NA,"sim3","winter"
"1",219,50,85,205,380,512,773,NA,NA,NA,NA,NA,"sim3","winter"
"1",46,24,70,157,278,361,513,NA,NA,NA,NA,NA,"sim3","winter"
"1",188,45,87,202,375,516,788,NA,NA,NA,NA,NA,"sim3","winter"
"1",108,22,86,203,356,479,705,NA,NA,NA,NA,NA,"sim3","winter"
"1",20,36,76,167,286,358,481,NA,NA,NA,NA,NA,"sim3","winter"
"1",134,95,97,222,392,522,761,NA,NA,NA,NA,NA,"sim3","winter"
"1",25,34,85,188,320,402,534,NA,NA,NA,NA,NA,"sim3","winter"
"1",11,93,68,148,236,290,375,NA,NA,NA,NA,NA,"sim3","winter"
"1",191,94,84,199,379,515,770,NA,NA,NA,NA,NA,"sim3","winter"
"1",111,6,95,216,368,486,705,NA,NA,NA,NA,NA,"sim3","winter"
"1",57,65,78,183,314,398,545,NA,NA,NA,NA,NA,"sim3","winter"
"1",60,74,86,209,378,480,673,NA,NA,NA,NA,NA,"sim3","winter"
"1",166,76,85,207,373,498,757,NA,NA,NA,NA,NA,"sim3","winter"
"1",171,2,89,207,374,505,742,NA,NA,NA,NA,NA,"sim3","winter"
"1",174,54,83,194,365,497,785,NA,NA,NA,NA,NA,"sim3","winter"
"1",137,56,90,208,382,514,756,NA,NA,NA,NA,NA,"sim3","winter"
"1",43,48,92,208,368,478,658,NA,NA,NA,NA,NA,"sim3","winter"
"1",208,35,88,204,371,497,775,NA,NA,NA,NA,NA,"sim3","winter"
"1",167,44,84,200,361,479,720,NA,NA,NA,NA,NA,"sim3","winter"
"1",234,33,88,211,381,511,781,NA,NA,NA,NA,NA,"sim3","winter"
"1",115,85,81,196,357,469,676,NA,NA,NA,NA,NA,"sim3","winter"
"1",4,99,43,84,125,150,201,NA,NA,NA,NA,NA,"sim3","winter"
"1",149,13,91,216,383,508,743,NA,NA,NA,NA,NA,"sim3","winter"
"1",162,46,85,203,380,515,768,NA,NA,NA,NA,NA,"sim3","winter"
"1",28,21,76,204,356,445,591,NA,NA,NA,NA,NA,"sim3","winter"
"1",141,14,82,201,378,507,758,NA,NA,NA,NA,NA,"sim3","winter"
"1",174,64,82,199,374,499,741,NA,NA,NA,NA,NA,"sim3","winter"
"1",187,68,89,215,389,514,748,NA,NA,NA,NA,NA,"sim3","winter"
"1",55,86,89,221,401,522,726,NA,NA,NA,NA,NA,"sim3","winter"
"1",83,19,86,203,358,472,652,NA,NA,NA,NA,NA,"sim3","winter"
"1",135,66,89,194,348,473,708,NA,NA,NA,NA,NA,"sim3","winter"
"1",232,63,87,204,380,512,779,NA,NA,NA,NA,NA,"sim3","winter"
"1",8,59,85,182,288,350,453,NA,NA,NA,NA,NA,"sim3","winter"
"1",184,87,86,207,379,514,787,NA,NA,NA,NA,NA,"sim3","winter"
"1",29,97,55,130,245,328,454,NA,NA,NA,NA,NA,"sim3","winter"
"1",49,82,93,211,355,456,623,NA,NA,NA,NA,NA,"sim3","winter"
"1",11,52,65,135,218,267,355,NA,NA,NA,NA,NA,"sim3","winter"
"1",206,20,88,205,378,506,778,NA,NA,NA,NA,NA,"sim3","winter"
"1",128,41,83,202,371,492,732,NA,NA,NA,NA,NA,"sim3","winter"
"1",161,72,88,215,399,530,770,NA,NA,NA,NA,NA,"sim3","winter"
"1",161,27,91,216,393,526,768,NA,NA,NA,NA,NA,"sim3","winter"
"1",114,3,93,213,381,515,745,NA,NA,NA,NA,NA,"sim3","winter"
"1",215,71,84,200,367,494,770,NA,NA,NA,NA,NA,"sim3","winter"
"1",31,62,82,188,340,441,602,NA,NA,NA,NA,NA,"sim3","winter"
"1",97,5,91,199,361,483,704,NA,NA,NA,NA,NA,"sim3","winter"
"1",99,92,95,223,394,519,741,NA,NA,NA,NA,NA,"sim3","winter"
"1",246,37,86,206,378,511,787,NA,NA,NA,NA,NA,"sim3","winter"
"1",176,1,90,224,404,537,796,NA,NA,NA,NA,NA,"sim3","winter"
"1",158,49,92,219,390,515,792,NA,NA,NA,NA,NA,"sim3","winter"
"1",234,98,86,200,367,502,781,NA,NA,NA,NA,NA,"sim3","winter"
"1",218,18,86,205,374,505,766,NA,NA,NA,NA,NA,"sim3","winter"
"1",244,77,86,202,372,503,774,NA,NA,NA,NA,NA,"sim3","winter"
"1",243,79,87,207,380,512,786,NA,NA,NA,NA,NA,"sim3","winter"
"1",204,88,90,211,388,530,795,NA,NA,NA,NA,NA,"sim3","winter"
"1",236,15,84,202,373,508,788,NA,NA,NA,NA,NA,"sim3","winter"
"1",73,39,86,199,348,465,657,NA,NA,NA,NA,NA,"sim3","winter"
"1",243,9,85,203,374,506,778,NA,NA,NA,NA,NA,"sim3","winter"
"1",156,90,77,181,336,472,721,NA,NA,NA,NA,NA,"sim3","winter"
"1",139,83,83,193,367,502,766,NA,NA,NA,NA,NA,"sim3","winter"
"1",106,29,84,198,370,501,748,NA,NA,NA,NA,NA,"sim3","winter"
"1",109,16,82,198,354,459,669,NA,NA,NA,NA,NA,"sim3","winter"
"1",113,28,83,190,329,437,638,NA,NA,NA,NA,NA,"sim3","winter"
"1",229,81,88,206,381,519,796,NA,NA,NA,NA,NA,"sim3","winter"
"10",45,91,61,143,287,393,578,NA,NA,NA,NA,NA,"sim3","winter"
